id,predicted_target
PA3001,1
PA3002,0
PA3003,2
PA3004,2
PA3005,2
PA3006,0
PA3007,0
PA3008,2
PA3009,2
PA3010,2
PA3011,1
PA3012,2
PA3013,0
PA3014,1
PA3015,0
PA3016,0
PA3017,2
PA3018,2
PA3019,2
PA3020,2
PA3021,1
PA3022,1
PA3023,2
PA3024,2
PA3025,0
PA3026,1
PA3027,2
PA3028,2
PA3029,0
PA3030,1
PA3031,0
PA3032,0
PA3033,2
PA3034,0
PA3035,0
PA3036,0
PA3037,0
PA3038,0
PA3039,2
PA3040,1
PA3041,2
PA3042,1
PA3043,0
PA3044,0
PA3045,1
PA3046,2
PA3047,2
PA3048,1
PA3049,0
PA3050,1
PA3051,0
PA3052,2
PA3053,2
PA3054,1
PA3055,2
PA3056,0
PA3057,2
PA3058,0
PA3059,2
PA3060,2
PA3061,0
PA3062,2
PA3063,2
PA3064,2
PA3065,2
PA3066,2
PA3067,2
PA3068,1
PA3069,2
PA3070,2
PA3071,2
PA3072,1
PA3073,2
PA3074,0
PA3075,0
PA3076,1
PA3077,0
PA3078,2
PA3079,2
PA3080,2
PA3081,0
PA3082,1
PA3083,2
PA3084,0
PA3085,2
PA3086,1
PA3087,0
PA3088,0
PA3089,2
PA3090,0
PA3091,2
PA3092,2
PA3093,1
PA3094,2
PA3095,2
PA3096,2
PA3097,0
PA3098,2
PA3099,0
PA3100,2
PA3101,0
PA3102,1
PA3103,1
PA3104,0
PA3105,2
PA3106,0
PA3107,0
PA3108,0
PA3109,0
PA3110,1
PA3111,1
PA3112,1
PA3113,1
PA3114,2
PA3115,0
PA3116,0
PA3117,0
PA3118,2
PA3119,2
PA3120,2
PA3121,0
PA3122,0
PA3123,1
PA3124,2
PA3125,2
PA3126,0
PA3127,0
PA3128,0
PA3129,1
PA3130,1
PA3131,2
PA3132,1
PA3133,1
PA3134,2
PA3135,1
PA3136,0
PA3137,2
PA3138,0
PA3139,2
PA3140,0
PA3141,2
PA3142,0
PA3143,2
PA3144,0
PA3145,2
PA3146,0
PA3147,1
PA3148,1
PA3149,1
PA3150,2
PA3151,2
PA3152,0
PA3153,2
PA3154,1
PA3155,0
PA3156,0
PA3157,2
PA3158,1
PA3159,2
PA3160,0
PA3161,2
PA3162,2
PA3163,1
PA3164,1
PA3165,2
PA3166,2
PA3167,2
PA3168,0
PA3169,0
PA3170,2
PA3171,2
PA3172,0
PA3173,0
PA3174,0
PA3175,0
PA3176,0
PA3177,2
PA3178,0
PA3179,1
PA3180,0
PA3181,0
PA3182,1
PA3183,0
PA3184,0
PA3185,2
PA3186,1
PA3187,1
PA3188,0
PA3189,1
PA3190,2
PA3191,0
PA3192,2
PA3193,1
PA3194,1
PA3195,0
PA3196,1
PA3197,1
PA3198,2
PA3199,1
PA3200,1
PA3201,1
PA3202,2
PA3203,0
PA3204,0
PA3205,0
PA3206,0
PA3207,1
PA3208,2
PA3209,1
PA3210,2
PA3211,0
PA3212,0
PA3213,0
PA3214,1
PA3215,2
PA3216,1
PA3217,0
PA3218,2
PA3219,2
PA3220,1
PA3221,0
PA3222,0
PA3223,1
PA3224,1
PA3225,2
PA3226,1
PA3227,2
PA3228,1
PA3229,2
PA3230,2
PA3231,2
PA3232,2
PA3233,1
PA3234,2
PA3235,1
PA3236,2
PA3237,2
PA3238,1
PA3239,2
PA3240,2
PA3241,0
PA3242,0
PA3243,1
PA3244,1
PA3245,1
PA3246,1
PA3247,2
PA3248,0
PA3249,0
PA3250,0
PA3251,1
PA3252,2
PA3253,1
PA3254,1
PA3255,1
PA3256,2
PA3257,2
PA3258,2
PA3259,1
PA3260,1
PA3261,1
PA3262,2
PA3263,2
PA3264,1
PA3265,2
PA3266,2
PA3267,1
PA3268,1
PA3269,2
PA3270,0
PA3271,1
PA3272,1
PA3273,2
PA3274,1
PA3275,2
PA3276,2
PA3277,1
PA3278,0
PA3279,1
PA3280,1
PA3281,0
PA3282,2
PA3283,0
PA3284,2
PA3285,1
PA3286,1
PA3287,2
PA3288,1
PA3289,1
PA3290,0
PA3291,2
PA3292,2
PA3293,1
PA3294,0
PA3295,0
PA3296,1
PA3297,1
PA3298,1
PA3299,2
PA3300,2
PA3301,2
PA3302,1
PA3303,2
PA3304,1
PA3305,0
PA3306,2
PA3307,2
PA3308,0
PA3309,0
PA3310,1
PA3311,1
PA3312,0
PA3313,2
PA3314,0
PA3315,2
PA3316,0
PA3317,2
PA3318,2
PA3319,0
PA3320,2
PA3321,1
PA3322,2
PA3323,0
PA3324,0
PA3325,1
PA3326,2
PA3327,1
PA3328,2
PA3329,2
PA3330,2
PA3331,2
PA3332,2
PA3333,2
PA3334,0
PA3335,1
PA3336,0
PA3337,1
PA3338,0
PA3339,2
PA3340,0
PA3341,1
PA3342,1
PA3343,2
PA3344,1
PA3345,0
PA3346,0
PA3347,2
PA3348,1
PA3349,0
PA3350,0
PA3351,0
PA3352,2
PA3353,0
PA3354,2
PA3355,2
PA3356,1
PA3357,0
PA3358,2
PA3359,0
PA3360,0
PA3361,0
PA3362,0
PA3363,2
PA3364,1
PA3365,1
PA3366,0
PA3367,1
PA3368,0
PA3369,2
PA3370,1
PA3371,2
PA3372,1
PA3373,1
PA3374,0
PA3375,2
PA3376,1
PA3377,1
PA3378,2
PA3379,0
PA3380,1
PA3381,2
PA3382,1
PA3383,1
PA3384,2
PA3385,2
PA3386,0
PA3387,0
PA3388,2
PA3389,2
PA3390,1
PA3391,0
PA3392,1
PA3393,2
PA3394,2
PA3395,1
PA3396,1
PA3397,2
PA3398,0
PA3399,0
PA3400,2
PA3401,2
PA3402,0
PA3403,2
PA3404,2
PA3405,1
PA3406,0
PA3407,0
PA3408,2
PA3409,2
PA3410,0
PA3411,0
PA3412,2
PA3413,0
PA3414,1
PA3415,2
PA3416,1
PA3417,1
PA3418,1
PA3419,0
PA3420,2
PA3421,0
PA3422,2
PA3423,0
PA3424,2
PA3425,2
PA3426,0
PA3427,2
PA3428,1
PA3429,0
PA3430,2
PA3431,2
PA3432,2
PA3433,2
PA3434,1
PA3435,1
PA3436,0
PA3437,2
PA3438,2
PA3439,2
PA3440,1
PA3441,0
PA3442,0
PA3443,1
PA3444,0
PA3445,1
PA3446,2
PA3447,0
PA3448,0
PA3449,2
PA3450,0
PA3451,1
PA3452,2
PA3453,2
PA3454,1
PA3455,0
PA3456,2
PA3457,0
PA3458,1
PA3459,2
PA3460,2
PA3461,2
PA3462,0
PA3463,0
PA3464,2
PA3465,2
PA3466,1
PA3467,0
PA3468,0
PA3469,1
PA3470,1
PA3471,0
PA3472,1
PA3473,0
PA3474,1
PA3475,2
PA3476,2
PA3477,2
PA3478,0
PA3479,2
PA3480,1
PA3481,2
PA3482,1
PA3483,2
PA3484,1
PA3485,0
PA3486,2
PA3487,0
PA3488,2
PA3489,0
PA3490,1
PA3491,0
PA3492,2
PA3493,1
PA3494,0
PA3495,2
PA3496,0
PA3497,1
PA3498,2
PA3499,1
PA3500,0
PA3501,2
PA3502,0
PA3503,2
PA3504,1
PA3505,2
PA3506,0
PA3507,1
PA3508,2
PA3509,2
PA3510,2
PA3511,2
PA3512,2
PA3513,0
PA3514,0
PA3515,0
PA3516,1
PA3517,2
PA3518,2
PA3519,1
PA3520,0
PA3521,2
PA3522,2
PA3523,0
PA3524,1
PA3525,2
PA3526,0
PA3527,1
PA3528,2
